seatid	keypadid	Xcolumn	Yrow	Xpx	Ypx	section	group   type(null,president,...)    active(yes,no,abs|true,false,block)
16	0	0	0	213	546	central	0	null	false
1	0	1	0	302	517	central	0	null	false
2	0	2	0	333	517	central	0	null	false
3	0	3	0	363	517	central	0	null	false
4	0	4	0	493	517	central	0	null	false
5	0	5	0	423	517	central	0	null	false
6	0	6	0	453	517	central	0	null	block
7	0	7	0	481	517	central	0	null	block
8	0	8	0	512	517	central	0	null	block
9	0	9	0	541	517	central	0	null	block
10	0	10	0	570	517	central	0	null	true
11	0	11	0	602	517	central	0	null	true
12	0	12	0	632	517	central	0	null	true
13	0	13	0	661	517	central	0	null	yes
14	0	14	0	692	517	central	0	null	yes
15	0	15	0	721	517	central	0	null	yes
123	0	16	0	870	507	right	0	null	yes
124	0	17	0	870	477	right	0	null	yes
125	0	18	0	870	447	right	0	null	yes
126	0	19	0	870	418	right	0	null	yes
127	0	20	0	870	387	right	0	null	yes
128	0	21	0	870	359	right	0	null	yes
129	0	22	0	870	328	right	0	null	yes
130	0	23	0	870	300	right	0	null	yes
134	0	24	0	902	418	right	0	null	yes
162	0	25	0	147	300	left	0	null	yes
161	0	26	0	147	328	left	0	null	yes
160	0	27	0	147	359	left	0	null	yes
159	0	28	0	147	387	left	0	null	yes
158	0	29	0	147	418	left	0	null	yes
157	0	30	0	147	447	left	0	null	yes
37	0	0	1	213	576	central	0	null	yes
17	0	1	1	243	546	central	0	null	yes
18	0	2	1	273	546	central	0	null	yes
19	0	3	1	302	546	central	0	null	yes
20	0	4	1	333	546	central	0	null	yes
21	0	5	1	363	546	central	0	null	yes
22	0	6	1	493	546	central	0	null	yes
23	0	7	1	423	546	central	0	null	yes
24	0	8	1	453	546	central	0	null	yes
25	0	9	1	481	546	central	0	null	yes
26	0	10	1	512	546	central	0	null	yes
27	0	11	1	541	546	central	0	null	yes
28	0	12	1	570	546	central	0	null	yes
29	0	13	1	602	546	central	0	null	yes
30	0	14	1	632	546	central	0	null	yes
31	0	15	1	661	546	central	0	null	yes
32	0	16	1	692	546	central	0	null	yes
33	0	17	1	721	546	central	0	null	yes
34	0	18	1	751	546	central	0	null	yes
35	0	19	1	781	546	central	0	null	yes
36	0	20	1	810	546	central	0	null	yes
131	0	21	1	902	507	right	0	null	yes
132	0	22	1	902	477	right	0	null	yes
133	0	23	1	902	447	right	0	null	yes
135	0	24	1	902	387	right	0	null	yes
170	0	25	1	119	300	left	0	null	yes
169	0	26	1	119	328	left	0	null	yes
168	0	27	1	119	359	left	0	null	yes
167	0	28	1	119	387	left	0	null	yes
166	0	29	1	119	418	left	0	null	yes
165	0	30	1	119	447	left	0	null	yes
58	0	0	2	213	605	central	0	null	yes
38	0	1	2	243	576	central	0	null	yes
39	0	2	2	273	576	central	0	null	yes
40	0	3	2	302	576	central	0	null	yes
41	0	4	2	333	576	central	0	null	yes
42	0	5	2	363	576	central	0	null	yes
43	0	6	2	493	576	central	0	null	yes
44	0	7	2	423	576	central	0	null	yes
45	0	8	2	453	576	central	0	null	yes
